Text,Label,
Alert 50%: data is consumed. Get 2GB at Rs33 till Midnight. Recharge now i.airtel.in/dtpck,Telecom,
We hope you are enjoying our JioFiber services. Please click www.jio.com/r/zu7lT4ZwV to share your experience. Team JioFiber,Telecom,
"Dear Client, we are pleased to inform you of the successful upgrade of our Credit Card System. We truly appreciate your patience and support. To enjoy enhanced card services, we urge you to refresh/update the SC Mobile app to its latest version available at App Store/Google Play Store - StanChart",Banking,
"YOU HAVE TRUE 5G!
To experience JioTrue5G, check your handset settings by following the below steps.
For android users:
1. Update the latest software of your device by going to Settings->About Device->Software Update
2. Kindly select 5G network on your handset by visiting -> Settings->Mobile Network->SIM->Network Type 5G
To know more https://youtu.be/jskWALw7qtg

For iOS android users:
1. Please update to the latest device software by going to Settings > General > Software Update
2. To set-up 5G on your device, go to Settings > Mobile Data > Mobile Data Options (for single SIM) OR Tap on Jio SIM (for multiple SIMs)
Select Voice & Data > Select 5G Auto.
To know more https://youtu.be/vhEZJaiiNW0
Or, call JioCare at 199.",Telecom,
Undiscovered treasures: 32 overlooked Indian GDRs ready to soar. Exclusive list available! https://g1yu.short.gy/LWPRrt29,Marketing,
"Dear Client, we are pleased to inform you of the successful upgrade of our Credit Card System. We truly appreciate your patience and support. To enjoy enhanced card services, we urge you to refresh/update the SC Mobile app to its latest version available at App Store/Google Play Store - StanChart",Banking,
You have recently recharged your JioFiber connection. Please click www.jio.com/r/zwyUOopE8 to share your feedback on your recharge experience. Team JioFiber,Telecom,
Dear Customer Your SBI Rewardz point's Rs. 8990 will Expire by 01-09-2024 Kindly convert your point into cash click here https://cszf.short.gy/Rewardz.pointl,Spam,
"Dear Policyholder, Greetings on LIC Day! Please download ""LIC Digital"" Mobile App. Please update Mobile number, email-id & PAN for smooth servicing-LIC .",Marketing,
"Thank you for choosing PVR Cinemas, we would love to hear about your experience with us, please click the link to give your valuable feedback http://in-ox.in/GI1725245406",Marketing,
Nifty Pharma Index trends: Key influencers and long-term outlook. Academic white paper accessible. https://g1yu.short.gy/3mT10,Marketing,
"Dear Customer, Click www.jio.com/r/zxkp5fBsU to tell us how we can make your experience on Jio network even better. Thank you, Team Jio",Telecom,
"Dear customer, Your AXlS Bank Shopping worth Reward Point  Rs.11580 Will Expire today Kindly Redeem Point in Cashback By Clicking On https://rb.gy/ydh2bh",Spam,
Get a flat 20% off on Footwear & bags collection at Inc.5! Use coupon HIANFS3K7L valid till 30th Sept. Visit Lulu Mall to grab this offer. T&C,Marketing,
"Dear Investor,
Thank you for the recent transaction through our IPRUTOUCH App. We'd love to know your experience & appreciate if you could share feedback. http://ipruamc.surv.in/dQBB4.
ICICI Prudential Mutual Fund",Banking,
Alert 50%: data is consumed. Get 2GB at Rs33 till Midnight. Recharge now i.airtel.in/dtpck,Telecom,
"Dear Investor,
Thank you for the recent transaction through our IPRUTOUCH App. We'd love to know your experience & appreciate if you could share feedback. http://ipruamc.surv.in/dQI0B.
ICICI Prudential Mutual Fund",Banking,
"Dear Customer, thank you for being a valuable HSBC Credit Cardholder. Click here https://grp.hsbc/ccnr_sms to know more about the different payment modes that you can use to settle your monthly dues.",Banking,
